Velocity,Average_D
0.2Vmax,0.054465
0.2Vmax,0.06708499999999999
0.2Vmax,0.0308
0.2Vmax,0.024399999999999998
0.2Vmax,0.06520000000000001
0.2Vmax,0.060300000000000006
0.2Vmax,0.055499999999999994
0.2Vmax,0.0392
0.2Vmax,0.030950000000000002
0.2Vmax,0.0521
0.2Vmax,0.0722
0.2Vmax,0.06305
0.2Vmax,0.01785
0.2Vmax,0.03655
0.2Vmax,0.07005
0.2Vmax,0.0639
0.2Vmax,0.038849999999999996
0.2Vmax,0.02255
0.2Vmax,0.0364
0.2Vmax,0.06245
0.2Vmax,0.05185
0.2Vmax,0.0008500000000000001
0.2Vmax,0.01845
0.2Vmax,0.02845
0.2Vmax,0.03285
0.2Vmax,0.024149999999999998
0.2Vmax,0.037149999999999996
0.2Vmax,0.01825
0.2Vmax,0.004050000000000001
0.2Vmax,0.0162
0.2Vmax,0.0189
0.2Vmax,0.02525
0.2Vmax,0.02035
0.2Vmax,0.0051
0.2Vmax,0.0043
0.2Vmax,0.00795
0.2Vmax,0.01725
0.2Vmax,0.0137
0.2Vmax,0.0183
0.2Vmax,0.0284
0.2Vmax,0.03245
0.2Vmax,0.026
0.2Vmax,0.01895
0.2Vmax,0.0153
0.2Vmax,0.0225
0.2Vmax,0.0436
0.2Vmax,0.0076
0.2Vmax,0.010849999999999999
0.2Vmax,0.0266
0.2Vmax,0.05965
0.2Vmax,0.03155
0.2Vmax,0.01555
0.2Vmax,0.012150000000000001
0.2Vmax,0.022699999999999998
0.2Vmax,0.0211
0.2Vmax,0.0157
0.2Vmax,0.014
0.2Vmax,0.00855
0.2Vmax,0.0157
0.2Vmax,0.01175
0.2Vmax,0.0022500000000000003
0.2Vmax,0.013300000000000001
0.2Vmax,0.0298
0.3Vmax,0.0269
0.3Vmax,0.027
0.3Vmax,0.02895
0.3Vmax,0.062299999999999994
0.3Vmax,0.021249999999999998
0.3Vmax,0.0283
0.3Vmax,0.0327
0.3Vmax,0.027250000000000003
0.3Vmax,0.0118
0.3Vmax,0.0089
0.3Vmax,0.0367
0.3Vmax,0.02055
0.3Vmax,0.01635
0.3Vmax,0.01625
0.3Vmax,0.0183
0.3Vmax,0.01055
0.3Vmax,0.0119
0.3Vmax,0.00765
0.3Vmax,0.00475
0.3Vmax,0.00355
0.3Vmax,0.0076500000000000005
0.3Vmax,0.0035499999999999998
0.3Vmax,0.005350000000000001
0.3Vmax,0.0165
0.3Vmax,0.013600000000000001
0.3Vmax,0.01475
0.3Vmax,0.009049999999999999
0.3Vmax,0.0007
0.3Vmax,0.00075
0.3Vmax,0.00195
0.3Vmax,0.04035
0.3Vmax,0.00225
0.3Vmax,0.0037500000000000003
0.3Vmax,0.00625
0.3Vmax,0.0234
0.3Vmax,0.0105
0.3Vmax,0.0062
0.3Vmax,0.00645
0.3Vmax,0.0063999999999999994
0.3Vmax,0.00895
0.3Vmax,0.019
0.3Vmax,0.0231
0.3Vmax,0.018699999999999998
0.3Vmax,0.0103
0.3Vmax,0.0277
0.3Vmax,0.0021
0.3Vmax,0.0021
0.3Vmax,0.00215
0.3Vmax,0.005
0.3Vmax,0.0089
0.3Vmax,0.022350000000000002
0.3Vmax,0.016399999999999998
0.3Vmax,0.0148
0.3Vmax,0.009149999999999998
0.3Vmax,0.01335
0.3Vmax,0.00905
0.3Vmax,0.006
0.3Vmax,0.0008500000000000001
0.3Vmax,0.005
0.3Vmax,0.0077
0.3Vmax,0.0106
0.3Vmax,0.01475
0.3Vmax,0.0436
0.4Vmax,0.018799999999999997
0.4Vmax,0.017349999999999997
0.4Vmax,0.07235
0.4Vmax,0.05355
0.4Vmax,0.0168
0.4Vmax,0.01855
0.4Vmax,0.0342
0.4Vmax,0.0274
0.4Vmax,0.02425
0.4Vmax,0.021849999999999998
0.4Vmax,0.0255
0.4Vmax,0.02315
0.4Vmax,0.00685
0.4Vmax,0.022
0.4Vmax,0.0027
0.4Vmax,0.01035
0.4Vmax,0.00465
0.4Vmax,0.013850000000000001
0.4Vmax,0.0153
0.4Vmax,0.0156
0.4Vmax,0.0179
0.4Vmax,0.0426
0.4Vmax,0.026
0.4Vmax,0.0178
0.4Vmax,0.01505
0.4Vmax,0.00645
0.4Vmax,0.00215
0.4Vmax,0.00975
0.4Vmax,0.0205
0.4Vmax,0.02245
0.4Vmax,0.01145
0.4Vmax,0.008150000000000001
0.4Vmax,0.004699999999999999
0.4Vmax,0.009649999999999999
0.4Vmax,0.0138
0.4Vmax,0.01505
0.4Vmax,0.037899999999999996
0.4Vmax,0.01225
0.4Vmax,0.00845
0.4Vmax,0.052599999999999994
0.4Vmax,0.011399999999999999
0.4Vmax,0.02215
0.4Vmax,0.01875
0.4Vmax,0.0098
0.4Vmax,0.018000000000000002
0.4Vmax,0.02495
0.4Vmax,0.01625
0.4Vmax,0.01625
0.4Vmax,0.0223
0.4Vmax,0.02525
0.4Vmax,0.01445
0.4Vmax,0.00995
0.4Vmax,0.016
0.4Vmax,0.02045
0.4Vmax,0.016
0.4Vmax,0.014650000000000002
0.4Vmax,0.0327
0.4Vmax,0.033049999999999996
0.4Vmax,0.0206
0.4Vmax,0.04055
0.4Vmax,0.0092
0.4Vmax,0.0105
0.4Vmax,0.0265
0.5Vmax,0.0026999999999999997
0.5Vmax,0.00865
0.5Vmax,0.01745
0.5Vmax,0.01715
0.5Vmax,0.0208
0.5Vmax,0.05765
0.5Vmax,0.0872
0.5Vmax,0.07015
0.5Vmax,0.01925
0.5Vmax,0.0026499999999999996
0.5Vmax,0.031599999999999996
0.5Vmax,0.02165
0.5Vmax,0.01065
0.5Vmax,0.012799999999999999
0.5Vmax,0.02725
0.5Vmax,0.019750000000000004
0.5Vmax,0.01035
0.5Vmax,0.018000000000000002
0.5Vmax,0.0127
0.5Vmax,0.05085
0.5Vmax,0.014499999999999999
0.5Vmax,0.00985
0.5Vmax,0.0079
0.5Vmax,0.00495
0.5Vmax,0.00925
0.5Vmax,0.02015
0.5Vmax,0.025349999999999998
0.5Vmax,0.02915
0.5Vmax,0.0618
0.5Vmax,0.02485
0.5Vmax,0.0088
0.5Vmax,0.0202
0.5Vmax,0.0115
0.5Vmax,0.0355
0.5Vmax,0.0121
0.5Vmax,0.00575
0.5Vmax,0.0051
0.5Vmax,0.0076500000000000005
0.5Vmax,0.00995
0.5Vmax,0.025549999999999996
0.5Vmax,0.01685
0.5Vmax,0.0223
0.5Vmax,0.00415
0.5Vmax,0.04975
0.5Vmax,0.0102
0.5Vmax,0.0182
0.5Vmax,0.0272
0.5Vmax,0.0349
0.5Vmax,0.019450000000000002
0.5Vmax,0.02035
0.5Vmax,0.00795
0.5Vmax,0.01385
0.5Vmax,0.021249999999999998
0.5Vmax,0.020900000000000002
0.5Vmax,0.0157
0.5Vmax,0.0288
0.5Vmax,0.016149999999999998
0.5Vmax,0.02425
0.5Vmax,0.009999999999999998
0.5Vmax,0.0102
0.5Vmax,0.05385
0.5Vmax,0.0357
0.5Vmax,0.0295
0.6Vmax,0.012
0.6Vmax,0.00785
0.6Vmax,0.0204
0.6Vmax,0.0064
0.6Vmax,0.0493
0.6Vmax,0.0945
0.6Vmax,0.0786
0.6Vmax,0.08554999999999999
0.6Vmax,0.041150000000000006
0.6Vmax,0.03615
0.6Vmax,0.0732
0.6Vmax,0.0059
0.6Vmax,0.0177
0.6Vmax,0.0067
0.6Vmax,0.0067
0.6Vmax,0.01825
0.6Vmax,0.02925
0.6Vmax,0.04925
0.6Vmax,0.01945
0.6Vmax,0.00355
0.6Vmax,0.04875
0.6Vmax,0.0216
0.6Vmax,0.02425
0.6Vmax,0.022350000000000002
0.6Vmax,0.02075
0.6Vmax,0.02035
0.6Vmax,0.013149999999999998
0.6Vmax,0.0211
0.6Vmax,0.06775
0.6Vmax,0.03725
0.6Vmax,0.018549999999999997
0.6Vmax,0.0063
0.6Vmax,0.024650000000000002
0.6Vmax,0.044199999999999996
0.6Vmax,0.0238
0.6Vmax,0.00485
0.6Vmax,0.0068000000000000005
0.6Vmax,0.01125
0.6Vmax,0.00645
0.6Vmax,0.029650000000000003
0.6Vmax,0.019200000000000002
0.6Vmax,0.0188
0.6Vmax,0.016550000000000002
0.6Vmax,0.0149
0.6Vmax,0.01935
0.6Vmax,0.0231
0.6Vmax,0.0263
0.6Vmax,0.03465
0.6Vmax,0.021249999999999998
0.6Vmax,0.01945
0.6Vmax,0.0296
0.6Vmax,0.0226
0.6Vmax,0.0214
0.6Vmax,0.00645
0.6Vmax,0.01225
0.6Vmax,0.02655
0.6Vmax,0.0143
0.6Vmax,0.0247
0.6Vmax,0.035949999999999996
0.6Vmax,0.0406
0.6Vmax,0.017849999999999998
0.6Vmax,0.04
0.6Vmax,0.01455
